Now tracing requests.

Tracing session: d26f6680-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                                      | timestamp    | source    | source_elapsed
                                                                                                                                                                                                                          Read 403 live and 0 tombstone cells | 20:54:42,551 | 127.0.0.1 |         305763
                                                                                                                                                                                                                           Read 25 live and 1 tombstone cells | 20:54:42,552 | 127.0.0.1 |         307129
                                                                                                                                                                                                                           Read 50 live and 0 tombstone cells | 20:54:42,553 | 127.0.0.1 |         307667
                                                                                                                                                              Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,769 | 127.0.0.1 |         524258
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,772 | 127.0.0.1 |         527270
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,773 | 127.0.0.1 |         527370
                                                                                                                                                                                                                           Read 43 live and 0 tombstone cells | 20:54:42,773 | 127.0.0.1 |         527411
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,773 | 127.0.0.1 |         527487
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,773 | 127.0.0.1 |         527596
                                                                                                                                                                                                                                 Scanned 4 rows and matched 4 | 20:54:42,773 | 127.0.0.1 |         527980
                                                                                                                                                              Executing seq scan across 4 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,773 | 127.0.0.1 |         528176
                                                                                                                                                                                                                           Read 11 live and 0 tombstone cells | 20:54:42,776 | 127.0.0.1 |         530528
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,777 | 127.0.0.1 |         532009
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,777 | 127.0.0.1 |         532304
                                                                                                                                                                                                                          Read 433 live and 0 tombstone cells | 20:54:42,778 | 127.0.0.1 |         532727
                                                                                                                                                                                                                          Read 15 live and 13 tombstone cells | 20:54:42,780 | 127.0.0.1 |         534492
                                                                                                                                                                                                                           Read 46 live and 0 tombstone cells | 20:54:42,780 | 127.0.0.1 |         534928
                                                                                                                                                                                                                          Read 403 live and 0 tombstone cells | 20:54:42,781 | 127.0.0.1 |         535605
                                                                                                                                                                                                                           Read 25 live and 1 tombstone cells | 20:54:42,781 | 127.0.0.1 |         535845
                                                                                                                                                                                                                           Read 50 live and 0 tombstone cells | 20:54:42,781 | 127.0.0.1 |         536120
 Parsing INSERT INTO system.compaction_history (id, keyspace_name, columnfamily_name, compacted_at, bytes_in, bytes_out, rows_merged) VALUES (d3b9c0d3-e4d2-11e6-b264-17f69bb1c0f2, 'system', 'schema_columnfamilies', 1485550482781, 8229, 6976, {1:4, 4:1}) | 20:54:42,782 | 127.0.0.1 |         536388
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,782 | 127.0.0.1 |         536525
                                                                                                                                                                                                                               Acquiring switchLock read lock | 20:54:42,782 | 127.0.0.1 |         536861
                                                                                                                                                                                                                                       Appending to commitlog | 20:54:42,782 | 127.0.0.1 |         536876
                                                                                                                                                                                                                        Adding to compaction_history memtable | 20:54:42,782 | 127.0.0.1 |         536887
                                                                                                                                                                                                                                 Scanned 5 rows and matched 5 | 20:54:42,783 | 127.0.0.1 |         538266
                                                                                                                                                                                                           Parsing SELECT * FROM system.schema_columnfamilies | 20:54:42,785 | 127.0.0.1 |         539513
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,785 | 127.0.0.1 |         539598
                                                                                                                                                                                                          Executing single-partition query on schema_triggers | 20:54:42,786 | 127.0.0.1 |         540469
                                                                                                                                                                                                                                 Acquiring sstable references | 20:54:42,786 | 127.0.0.1 |         540481
                                                                                                                                                                                                                                  Merging memtable tombstones | 20:54:42,786 | 127.0.0.1 |         540515
                                                                                                                                                                                                                                 Key cache hit for sstable 42 | 20:54:42,786 | 127.0.0.1 |         540583
                                                                                                                                                                                                            Seeking to partition indexed section in data file | 20:54:42,786 | 127.0.0.1 |         540602
                                                                                                                                                                                    Skipped 0/1 non-slice-intersecting sstables, included 0 due to tombstones | 20:54:42,786 | 127.0.0.1 |         540920
                                                                                                                                                                                                                   Merging data from memtables and 1 sstables | 20:54:42,786 | 127.0.0.1 |         540933
                                                                                                                                                                                                                            Read 0 live and 0 tombstone cells | 20:54:42,786 | 127.0.0.1 |         540958
                                                                                                                                                                                                                 Parsing SELECT * FROM system.schema_triggers | 20:54:42,786 | 127.0.0.1 |         541121
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,786 | 127.0.0.1 |         541181
                                                                                                                                                                                                           Executing single-partition query on schema_columns | 20:54:42,786 | 127.0.0.1 |         541286
                                                                                                                                                                                                                                 Acquiring sstable references | 20:54:42,786 | 127.0.0.1 |         541295
                                                                                                                                                                                                                                  Merging memtable tombstones | 20:54:42,787 | 127.0.0.1 |         541320
                                                                                                                                                                                                          Partition index with 0 entries found for sstable 80 | 20:54:42,787 | 127.0.0.1 |         541437
                                                                                                                                                                                                            Seeking to partition indexed section in data file | 20:54:42,787 | 127.0.0.1 |         541447
                                                                                                                                                                                                          Partition index with 0 entries found for sstable 79 | 20:54:42,787 | 127.0.0.1 |         541863
                                                                                                                                                                                                            Seeking to partition indexed section in data file | 20:54:42,787 | 127.0.0.1 |         541875
                                                                                                                                                                                    Skipped 0/4 non-slice-intersecting sstables, included 0 due to tombstones | 20:54:42,787 | 127.0.0.1 |         542142
                                                                                                                                                                                                                   Merging data from memtables and 2 sstables | 20:54:42,787 | 127.0.0.1 |         542168
                                                                                                                                                                                                                          Read 15 live and 13 tombstone cells | 20:54:42,787 | 127.0.0.1 |         542234
                                                                                                                                                                                                                  Parsing SELECT * FROM system.schema_columns | 20:54:42,788 | 127.0.0.1 |         542454
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,788 | 127.0.0.1 |         542523
                                                                                                                                                                                                           Executing single-partition query on schema_columns | 20:54:42,788 | 127.0.0.1 |         542965
                                                                                                                                                                                                                                 Acquiring sstable references | 20:54:42,788 | 127.0.0.1 |         542974
                                                                                                                                                                                                                                  Merging memtable tombstones | 20:54:42,788 | 127.0.0.1 |         543006
                                                                                                                                                                                                                                 Key cache hit for sstable 80 | 20:54:42,788 | 127.0.0.1 |         543073
                                                                                                                                                                                                            Seeking to partition indexed section in data file | 20:54:42,788 | 127.0.0.1 |         543088
                                                                                                                                                                                                                                 Key cache hit for sstable 79 | 20:54:42,788 | 127.0.0.1 |         543238
                                                                                                                                                                                                            Seeking to partition indexed section in data file | 20:54:42,788 | 127.0.0.1 |         543254
                                                                                                                                                                                    Skipped 0/4 non-slice-intersecting sstables, included 0 due to tombstones | 20:54:42,788 | 127.0.0.1 |         543308
                                                                                                                                                                                                                   Merging data from memtables and 2 sstables | 20:54:42,789 | 127.0.0.1 |         543325
                                                                                                                                                                                                                          Read 15 live and 13 tombstone cells | 20:54:42,789 | 127.0.0.1 |         543440
                                                                                                                                                                                                                  Parsing SELECT * FROM system.schema_columns | 20:54:42,789 | 127.0.0.1 |         543564
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,789 | 127.0.0.1 |         543609
                                                                                                                                                              Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,796 | 127.0.0.1 |         550961
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,797 | 127.0.0.1 |         552161
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,797 | 127.0.0.1 |         552220
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,797 | 127.0.0.1 |         552291
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,798 | 127.0.0.1 |         552331
                                                                                                                                                                                                                                 Scanned 4 rows and matched 4 | 20:54:42,798 | 127.0.0.1 |         552441
                                                                                                                                                              Executing seq scan across 1 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,798 | 127.0.0.1 |         552564
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,798 | 127.0.0.1 |         552994
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,798 | 127.0.0.1 |         553112
                                                                                                                                                                                                                          Read 403 live and 0 tombstone cells | 20:54:42,801 | 127.0.0.1 |         555964
                                                                                                                                                                                                                           Read 25 live and 1 tombstone cells | 20:54:42,801 | 127.0.0.1 |         556272
                                                                                                                                                                                                                           Read 50 live and 0 tombstone cells | 20:54:42,802 | 127.0.0.1 |         556472
                                                                                                                                                                                                                                 Scanned 5 rows and matched 5 | 20:54:42,802 | 127.0.0.1 |         556531
                                                                                                                                                              Executing seq scan across 4 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,802 | 127.0.0.1 |         556739
                                                                                                                                                                                                                           Read 43 live and 0 tombstone cells | 20:54:42,803 | 127.0.0.1 |         558127
                                                                                                                                                                                                                           Read 11 live and 0 tombstone cells | 20:54:42,803 | 127.0.0.1 |         558200
                                                                                                                                                                                                                          Read 433 live and 0 tombstone cells | 20:54:42,806 | 127.0.0.1 |         561076
                                                                                                                                                                                                                          Read 15 live and 13 tombstone cells | 20:54:42,807 | 127.0.0.1 |         561388
                                                                                                                                                                                                                           Read 46 live and 0 tombstone cells | 20:54:42,807 | 127.0.0.1 |         561571
                                                                                                                                                                                                                                 Scanned 5 rows and matched 5 | 20:54:42,807 | 127.0.0.1 |         561659
                                                                                                                                                              Executing seq scan across 1 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,807 | 127.0.0.1 |         561793
                                                                                                                                                                                                                            Read 0 live and 0 tombstone cells | 20:54:42,807 | 127.0.0.1 |         562161
                                                                                                                                                                                                                                 Scanned 1 rows and matched 1 | 20:54:42,807 | 127.0.0.1 |         562199
                                                                                                                                                Parsing INSERT INTO system.local (key, schema_version) VALUES ('local', 7d59787e-e102-3246-90ec-a273e714c887) | 20:54:42,808 | 127.0.0.1 |         562729
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,808 | 127.0.0.1 |         562833
                                                                                                                                                                                                                               Acquiring switchLock read lock | 20:54:42,808 | 127.0.0.1 |         562992
                                                                                                                                                                                                                                       Appending to commitlog | 20:54:42,808 | 127.0.0.1 |         563000
                                                                                                                                                                                                                                     Adding to local memtable | 20:54:42,808 | 127.0.0.1 |         563020
        Parsing INSERT INTO system.compaction_history (id, keyspace_name, columnfamily_name, compacted_at, bytes_in, bytes_out, rows_merged) VALUES (d3ce3330-e4d2-11e6-b264-17f69bb1c0f2, 'system', 'schema_columns', 1485550482915, 7785, 7256, {1:4, 4:1}) | 20:54:42,915 | 127.0.0.1 |         669860
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,915 | 127.0.0.1 |         670048
                                                                                                                                                                                                                               Acquiring switchLock read lock | 20:54:42,916 | 127.0.0.1 |         670659
                                                                                                                                                                                                                                       Appending to commitlog | 20:54:42,916 | 127.0.0.1 |         670673
                                                                                                                                                                                                                        Adding to compaction_history memtable | 20:54:42,916 | 127.0.0.1 |         670691
                                                                                                                                                                                                                                             Request complete | 20:54:42,808 | 127.0.0.1 |         563210



Tracing session: d41415d0-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                | timestamp    | source    | source_elapsed
-----------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                      execute_cql3_query | 20:54:43,373 | 127.0.0.1 |              0
 Parsing insert into testdb.testcf (field0,field1,field2,field3) values ('A','G1',1,10); | 20:54:43,373 | 127.0.0.1 |             54
                                                                     Preparing statement | 20:54:43,373 | 127.0.0.1 |            131
                                                       Determining replicas for mutation | 20:54:43,373 | 127.0.0.1 |            308
                                                          Acquiring switchLock read lock | 20:54:43,374 | 127.0.0.1 |            577
                                                                  Appending to commitlog | 20:54:43,374 | 127.0.0.1 |            595
                                                               Adding to testcf memtable | 20:54:43,374 | 127.0.0.1 |            624
                                                                        Request complete | 20:54:43,375 | 127.0.0.1 |           2467



Tracing session: d462d210-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                | timestamp    | source    | source_elapsed
-----------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                      execute_cql3_query | 20:54:43,890 | 127.0.0.1 |              0
 Parsing insert into testdb.testcf (field0,field1,field2,field3) values ('B','G1',2,20); | 20:54:43,890 | 127.0.0.1 |             58
                                                                     Preparing statement | 20:54:43,890 | 127.0.0.1 |            199
                                                       Determining replicas for mutation | 20:54:43,890 | 127.0.0.1 |            439
                                                          Acquiring switchLock read lock | 20:54:43,891 | 127.0.0.1 |            719
                                                                  Appending to commitlog | 20:54:43,891 | 127.0.0.1 |            760
                                                               Adding to testcf memtable | 20:54:43,891 | 127.0.0.1 |            822
                                                                        Request complete | 20:54:43,891 | 127.0.0.1 |           1241



Tracing session: d4b1b560-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                | timestamp    | source    | source_elapsed
-----------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                      execute_cql3_query | 20:54:44,407 | 127.0.0.1 |              0
 Parsing insert into testdb.testcf (field0,field1,field2,field3) values ('C','G2',3,30); | 20:54:44,407 | 127.0.0.1 |             61
                                                                     Preparing statement | 20:54:44,407 | 127.0.0.1 |            161
                                                       Determining replicas for mutation | 20:54:44,407 | 127.0.0.1 |            379
                                                          Acquiring switchLock read lock | 20:54:44,407 | 127.0.0.1 |            657
                                                                  Appending to commitlog | 20:54:44,407 | 127.0.0.1 |            673
                                                               Adding to testcf memtable | 20:54:44,407 | 127.0.0.1 |            732
                                                                        Request complete | 20:54:44,408 | 127.0.0.1 |           1171



Tracing session: d50098b0-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                | timestamp    | source    | source_elapsed
-----------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                      execute_cql3_query | 20:54:44,923 | 127.0.0.1 |              0
 Parsing insert into testdb.testcf (field0,field1,field2,field3) values ('D','G2',4,40); | 20:54:44,923 | 127.0.0.1 |             59
                                                                     Preparing statement | 20:54:44,923 | 127.0.0.1 |            164
                                                       Determining replicas for mutation | 20:54:44,924 | 127.0.0.1 |            423
                                                          Acquiring switchLock read lock | 20:54:44,924 | 127.0.0.1 |            632
                                                                  Appending to commitlog | 20:54:44,924 | 127.0.0.1 |            652
                                                               Adding to testcf memtable | 20:54:44,924 | 127.0.0.1 |            673
                                                                        Request complete | 20:54:44,924 | 127.0.0.1 |           1157



 field0 | field1 | field2 | field3
--------+--------+--------+--------
      C |     G2 |      3 |     30
      B |     G1 |      2 |     20
      A |     G1 |      1 |     10
      D |     G2 |      4 |     40

(4 rows)


Tracing session: d54f54f0-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                        | timestamp    | source    | source_elapsed
-------------------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                              execute_cql3_query | 20:54:45,440 | 127.0.0.1 |              0
                                                Parsing select * from testdb.testcf LIMIT 10000; | 20:54:45,440 | 127.0.0.1 |             57
                                                                             Preparing statement | 20:54:45,440 | 127.0.0.1 |            141
                                                                   Determining replicas to query | 20:54:45,440 | 127.0.0.1 |            310
 Executing seq scan across 0 sstables for [min(-9223372036854775808), min(-9223372036854775808)] | 20:54:45,444 | 127.0.0.1 |           4382
                                                               Read 1 live and 0 tombstone cells | 20:54:45,444 | 127.0.0.1 |           4521
                                                               Read 1 live and 0 tombstone cells | 20:54:45,444 | 127.0.0.1 |           4615
                                                               Read 1 live and 0 tombstone cells | 20:54:45,444 | 127.0.0.1 |           4699
                                                               Read 1 live and 0 tombstone cells | 20:54:45,445 | 127.0.0.1 |           4781
                                                                    Scanned 4 rows and matched 4 | 20:54:45,445 | 127.0.0.1 |           4816
                                                                                Request complete | 20:54:45,445 | 127.0.0.1 |           5596



 field0 | field1
--------+--------
      C |     G2
      B |     G1
      A |     G1
      D |     G2

(4 rows)


Tracing session: d5528940-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                        | timestamp    | source    | source_elapsed
-------------------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                              execute_cql3_query | 20:54:45,461 | 127.0.0.1 |              0
                                    Parsing select field0,field1 from testdb.testcf LIMIT 10000; | 20:54:45,461 | 127.0.0.1 |             40
                                                                             Preparing statement | 20:54:45,461 | 127.0.0.1 |            166
                                                                   Determining replicas to query | 20:54:45,461 | 127.0.0.1 |            299
 Executing seq scan across 0 sstables for [min(-9223372036854775808), min(-9223372036854775808)] | 20:54:45,462 | 127.0.0.1 |            946
                                                               Read 1 live and 0 tombstone cells | 20:54:45,462 | 127.0.0.1 |           1050
                                                               Read 1 live and 0 tombstone cells | 20:54:45,462 | 127.0.0.1 |           1143
                                                               Read 1 live and 0 tombstone cells | 20:54:45,462 | 127.0.0.1 |           1210
                                                               Read 1 live and 0 tombstone cells | 20:54:45,462 | 127.0.0.1 |           1253
                                                                    Scanned 4 rows and matched 4 | 20:54:45,462 | 127.0.0.1 |           1274
                                                                                Request complete | 20:54:45,462 | 127.0.0.1 |           1510



 field0 | field1
--------+--------
      A |     G1

(1 rows)


Tracing session: d554ac20-e4d2-11e6-b264-17f69bb1c0f2

