OK
1478534812.053097 [0 127.0.0.1:42663] "HGETALL" "user8405901766765746015"
1478534812.053616 [0 127.0.0.1:42663] "HGETALL" "user1835329513814282332"
1478534812.054345 [0 127.0.0.1:42663] "HMSET" "user3016457331771222701" "field5" "<#p+'8\"3n:Au=1<$=6/9d;W#,L=14d8]i;P%5*0(#r;]/$=z'.\")&8$7,13x\"^/(D5.;&4Ys$2h6\\-\"\\\x7f\"^=54$5Xu3S988>&J\x7f#"
1478534812.054713 [0 127.0.0.1:42663] "HGETALL" "user4424102372973731513"
1478534812.055574 [0 127.0.0.1:42663] "HGETALL" "user7354714177755096975"
1478534812.056336 [0 127.0.0.1:42663] "HGETALL" "user769523418233689801"
1478534812.056986 [0 127.0.0.1:42663] "HGETALL" "user985766671634283869"
1478534812.057596 [0 127.0.0.1:42663] "HGETALL" "user5581239320322193029"
1478534812.058269 [0 127.0.0.1:42663] "HGETALL" "user8150365845598132473"
1478534812.058881 [0 127.0.0.1:42663] "HGETALL" "user884845140610037639"
1478534812.059561 [0 127.0.0.1:42663] "HGETALL" "user4038066262347686194"
1478534812.060251 [0 127.0.0.1:42663] "HGETALL" "user1593633823486629950"
1478534812.060917 [0 127.0.0.1:42663] "HGETALL" "user2413276361938144301"
1478534812.061532 [0 127.0.0.1:42663] "HGETALL" "user6164213995759621244"
1478534812.062183 [0 127.0.0.1:42663] "HGETALL" "user5817347222824138717"
1478534812.062852 [0 127.0.0.1:42663] "HGETALL" "user9220858123197992685"
1478534812.063466 [0 127.0.0.1:42663] "HGETALL" "user6163872350465322679"
1478534812.064210 [0 127.0.0.1:42663] "HMSET" "user8869086853025400594" "field2" "'Hg\"*.8%6!\"d,?.0G'<;~67v:&z;&d)Z903v T=4/ /-|6'|<<d6Eg0.>,*43:p\"_'95$96&#E15Y=4Oo#20?-l+J=!),(&b=Ts."
1478534812.064641 [0 127.0.0.1:42663] "HGETALL" "user869884988745795583"
1478534812.065256 [0 127.0.0.1:42663] "HGETALL" "user2880929314999224678"
1478534812.065831 [0 127.0.0.1:42663] "HGETALL" "user185428821771980690"
1478534812.066447 [0 127.0.0.1:42663] "HGETALL" "user7572077352179971939"
1478534812.067108 [0 127.0.0.1:42663] "HGETALL" "user9221199768492291250"
1478534812.067763 [0 127.0.0.1:42663] "HGETALL" "user3343336125528896926"
1478534812.068396 [0 127.0.0.1:42663] "HGETALL" "user6505711296087238960"
1478534812.069081 [0 127.0.0.1:42663] "HGETALL" "user5228908089637460490"
1478534812.069708 [0 127.0.0.1:42663] "HGETALL" "user6993788858761811405"
1478534812.070443 [0 127.0.0.1:42663] "HGETALL" "user4881823001484136080"
1478534812.070994 [0 127.0.0.1:42663] "HGETALL" "user3353268450079572736"
1478534812.071760 [0 127.0.0.1:42663] "HGETALL" "user8893979329440318460"
1478534812.072367 [0 127.0.0.1:42663] "HGETALL" "user2543558236178734195"
1478534812.072999 [0 127.0.0.1:42663] "HGETALL" "user4992458541841216237"
1478534812.073718 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
1478534812.074318 [0 127.0.0.1:42663] "HGETALL" "user4168006491293977523"
1478534812.075029 [0 127.0.0.1:42663] "HGETALL" "user8155052027617400154"
1478534812.075748 [0 127.0.0.1:42663] "HGETALL" "user769523418233689801"
1478534812.076432 [0 127.0.0.1:42663] "HGETALL" "user1231588583469063484"
1478534812.077021 [0 127.0.0.1:42663] "HGETALL" "user6520889763169322899"
1478534812.077683 [0 127.0.0.1:42663] "HGETALL" "user4177720500626811450"
1478534812.078385 [0 127.0.0.1:42663] "HGETALL" "user8753546815431210873"
1478534812.079013 [0 127.0.0.1:42663] "HGETALL" "user1573987489603120213"
