
 session_id                           | client    | command | coordinator | duration | parameters                                                                                                                                                                                             | request            | started_at
 8e31fe50-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2563 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.789000+0000
 7ab85630-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2576 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:20.115000+0000
 90218003-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     3897 |                                                                          {'consistency_level': 'ONE', 'query': 'SELECT * FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:43.520000+0000
 837ab2c0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      528 |                 {'consistency_level': 'ONE', 'page_size': '100', 'query': 'insert into testdb.testcf (field0,field1,field2,field3) values (''D'',''G2'',4,40);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.804000+0000
 838adf60-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1129 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 8389cdf0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.910000+0000
 7a9e6590-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      783 |                 {'consistency_level': 'ONE', 'page_size': '100', 'query': 'insert into testdb.testcf (field0,field1,field2,field3) values (''C'',''G2'',3,30);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:19.945000+0000
 82a1def9-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      971 |                                                                                       {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.views', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.383000+0000
 8d185eb1-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     5381 |                                                                                      {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.tables', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:38.439000+0000
 86d8f8f0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1471 |                         {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.tables WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:59.455000+0000
 8d185eb0-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |    15553 |                                                                                     {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.columns', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:38.427000+0000
 829a8bf0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     8351 |                                                                          {'consistency_level': 'ONE', 'query': 'SELECT * FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.335000+0000
 836a5f19-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1570 |                        {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.indexes WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.697000+0000
 83f5610b-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      974 |                           {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.views WHERE keyspace_name = ''testdb'' AND view_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.608000+0000
 82d71fc0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      951 |                                                  {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.keyspaces WHERE keyspace_name = ''testdb''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.732000+0000
 83f31710-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2320 |                                                              {'consistency_level': 'ONE', 'query': 'SELECT peer, rpc_address, schema_version FROM system.peers', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.593000+0000
 82d85840-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1734 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 82a7ab50-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.741000+0000
 838cdb30-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1448 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 838bf0d0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.923000+0000
 8388bc80-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1122 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 83867290-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.896000+0000
 7aa4ce30-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1820 |                                                            {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select field0,field1 from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:19.987000+0000
 86d79960-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1333 |                                                              {'consistency_level': 'ONE', 'query': 'SELECT peer, rpc_address, schema_version FROM system.peers', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:59.447000+0000
 9023a2e3-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1738 |                                                                                     {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.indexes', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:43.534000+0000
 839bcf50-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      913 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 839b3310-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.021000+0000
 839c6b90-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      913 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 839b3310-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.025000+0000
 8384c4e0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      908 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 8381b7a0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.870000+0000
 838428a0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1308 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 8381b7a0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.866000+0000
 838a4320-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1138 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 8389cdf0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.906000+0000
 902354c0-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     3309 |                                                                                      {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.tables', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:43.532000+0000
 8d2a8720-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     6635 |                                                               {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from system_traces.sessions;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:38.546000+0000
 8d185eb5-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     7074 |                                                                                   {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.functions', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:38.427000+0000
 8e255420-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1092 |                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'delete field1,field3 from  testdb.testcf WHERE field0=''C'';', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.706000+0000
 8397b0a0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      872 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 8396ed50-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.994000+0000
 83020050-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     4159 |                                                             {'consistency_level': 'ONE', 'query': 'SELECT schema_version FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.013000+0000
 83f539f0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      800 |                        {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.columns WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.607000+0000
 7a01b060-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      478 |                                                                                        {'consistency_level': 'ONE', 'page_size': '5000', 'query': 'use testdb;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:18.919000+0000
 79c20f50-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |   347512 | {'consistency_level': 'ONE', 'page_size': '100', 'query': 'create keyspace  testdb with replication = {''class'':''SimpleStrategy'',''replication_factor'':1};', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:18.501000+0000
 836a5f18-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      934 |                        {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.columns WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.697000+0000
 82d7bc00-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1662 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 82a7ab50-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.736000+0000
 837c6070-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1167 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 837ab2c0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.815000+0000
 884d9790-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      971 |                                                  {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.keyspaces WHERE keyspace_name = ''testdb''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:19:01.897000+0000
 829f6df1-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     9455 |                                                                                     {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.columns', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:52.367000+0000
 884b2691-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     3023 |                                                             {'consistency_level': 'ONE', 'query': 'SELECT schema_version FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:19:01.881000+0000
 8e2a0f10-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      793 |                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'delete field1,field2 from  testdb.testcf WHERE field0=''C'';', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.737000+0000
 8390d2d0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1463 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.949000+0000
 8374bf50-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      990 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 837386d0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.765000+0000
 86d9bc40-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      769 |                        {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.indexes WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:59.460000+0000
 8e279e10-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1818 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.721000+0000
